,content,sentiment,Proc_Tweet
2137,people supporting muniswamy bjp candidate kolar jai modi,1.0,people support muniswamy candidate solar jaw mode
2138,petrol diesel and gas prices not rise ,0.0,petrol diese gas price rise
2139,the people who are thinking that modi alone just and checked how many parties nda alliance congress anti indian you wont able tweet just four years this congress who works for india from long time,1.0,people think mode alone check many party nd alliance congress anti indian wont able sweet four year congress work india long time
2140,what the fuck you people think idk why you put modi everywhere whats wrong people india are asking malala speak against this shameful incident har cheez polictics karege ,-1.0,fuck people think ink put mode everywhere wrong people india ask balaga speak shameful incident cheek politics large
2141,amartya sen hits out modi govt says india has taken quantum jump wrong direction since 2014 ,-1.0,marya men hit mode get say india take quantum jump wrong direction since 2014
2142,modi will never appreciate because from fascist organisation,0.0,mode never appreciate fascia organisation
2143,imagine the president india urging citizens vote for modibjp din bhi dur nahi,0.0,imagine president india urge citizen vote modibjp din hi nasi
2144,how senior leaders were directly involved helping nirav modi make millions very well documented the attached video which part the discussions the parlaiment the presence hai koi jawab ,1.0,senior leader directly involve help nina mode make million well document attach video part discussion parliament presence roi away
2145,rajasthan governor kalyan singh openly says that wants bjp win the elections and modi should elected back how expect fair elections and politics with such mindset ,1.0,rajasthan governor klan sigh openly say want win election mode elect back expect fair election politics midst
2146,antifarmers procapitalist bjp mayawati attacks modi govt over sugarcane farmers’ dues why bjp not acting tough against the mill owners like the bsp government and getting all the arrears the farmers cleared she asked read ,-1.0,antifarmers procapitalist mayawati attack mode get sugarcane farmer dues act tough mill owner like esp government get arrears farmer clear ask read
2147,yogi one kids modi one kids advani one kids togadia one kids bal thackeray one kids but muslims produce too many children,1.0,one kiss mode one kiss advance one kiss togadia one kiss bal thackeray one kiss muslin produce many child
2148,lot more people from among the seculars and the caste and dolebased sections society have joined hindutva the last years that because modi provided both the others winning freedom for fear hindutva modi has spread his net far and wide,1.0,lot people among secular caste dolebased section society join hindutva last year mode provide others win freedom fear hindutva mode spread net far wide
2149,controversies loom large over directorial the films producer and story writer talks about the starrer ,1.0,controversy loom large directorial film producer story writer talk start
2150,surat women perform yagna seeks divine grace for narendra modi become again ,0.0,murat woman performyagna seek divine grace narendra mode become
2151,slump ass bjp modi kajnaath shushma after getting power gone mad shaehshand with jehaid used hindus for vote after kike them,-1.0,slump as mode kajnaath shushma get power go mad shaehshand repaid use hindu vote like
2152,curb the black money they were rotating india face demonitisation modi myt take harsh steps but those steps not taken then few years india would leading only corruption only the rich would survive here,-1.0,curb black money rotate india face demonetization mode take harsh step step take year india would lead corruption rich would survive
2153,the real nirav modi ran away right under your nose your chowkidari,1.0,real nina mode run away right nose chowkidari
2154,modi clan are better even trump good doing strong whats your problem china paks looter,1.0,mode clan well even tramp good strong problem china pas loot
2155,now air india boarding pass with pictures modi causes stir ,0.0,air india board pas picture mode cause stir
2156,vote for bjp vote for modi vote for corruption free govt ,1.0,vote vote mode vote corruption free get
2157,people vote for progress vote for development vote for modi ,0.0,people vote progress vote development vote mode
2158,"adani project becomes indias first power sector sez modi government approval came days before election dates announced will save adani billions taxes – billion annually clean energy cess alone reports
",1.0,project become indian first power sector sez mode government approval come day election date announce save billion tax billion annually clean energy less alone report
2159,the brazenness compare rajat gupta with nirav modi gupta never testified during his hearing hes come out with book stating his version claims innocent makes for interesting reading given chance the press would interview nirav too nothing about aura,1.0,brazenness compare rat gutta nina mode gutta never testify hear come book state version claim innocent make interesting read give chance press would interview nina nothing laura
2160,"
modi govt has provided lpg connections under ujjwala yojana which helping women their families get rid health issues caused indoor air pollution via namo app",0.0,mode get provide leg connection ujjwala yojana help woman family get rid health issue cause indoor air pollution via name pp
2161,with these kind persons the party what would modi ,1.0,kind person party would mode
2162,all just barking dogs whole world know that india big terrorist organisation and just barking against pakistan because just some money and hate your modi dogi terrorist american before laaaaaant all gayhindoa terrorist state  ,-1.0,bark dog whole world know india big terrorist organisation bark parisian money hate mode dog terrorist american last gayhindoa terrorist state
2163,modis chmacchas are involved the enquiry starts modi shall trouble therefore nothing will happen let the modi and his elks enjoy money and power forever,1.0,mode chmahas involve enquiry start mode shall trouble therefore nothing happen let mode eye enjoy money power forever
2164,modi didnt much liberals shah will nightmare for these guys even home minister will cause enough heart burn,1.0,mode much liberal shah nightmare gun even home minister cause enough heart burn
2165,plsmust watch keep the haters dividers the society out power this 2019 modi taking india towards failed state failed jobs ,-1.0,plsmust watch keep water divide society power 2019 mode take india towards fail state fail job
2166,millions have added chowkidar their name your logic million people are chor this million will vote for modi again modi will get 350 this time can keep abusing but victory will for modi and its suppirters not only that victory for india,0.0,million add chowkidar name logic million people cher million vote mode mode get 350 time keep abuse victory mode supporter victory india
2167,watch society needs modi rajasthan governor kalyan singh channels bjp ‘karyakarta’ read here ,0.0,watch society need mode rajasthan governor klan sigh channel karyakarta read
2168,amazing bird eye view rally maharashtra modi amit shah still zoom see the crowd ,1.0,amaze bird eye view rally maharashtra mode amid shah still room see crowd
2169,grateful modi ,0.0,grateful mode
2170,could pls once say why much against modi govt,1.0,could pus say much mode get
2171,diwali will celebrated all across india modi loses but wins there will more celebrations terror camps they have found out only rhetoric action for nearly years failed rule him,1.0,dial celebrate across india mode lose win celebration terror camp find rhetoric action nearly year fail rule
2172,ram manohar lohia would have been proud nda government modi times india ► ,1.0,ram manor ohio would proud nd government mode time india
2173,this guy wants the for sure and will better then modi,1.0,guy want sure well mode
2174,you want modi back then its but just think about thousands time call congress anti indians,0.0,want mode back think thousand time call congress anti indian
2175,yesterday governor now indian air force doing election campaign for modi  next president ,0.0,yesterday governor indian air force election campaign mode next president
2176,bjp govt forever jusic for women modi forever vote for modi ,0.0,get forever music woman mode forever vote mode
2177,inko nahin lakh khoon maaf hai are all bjp workers modi should become governor kalyan singh ,0.0,pain lake soon may worker mode become governor klan sigh
2178,objectbiased media those space each cong spl rahulpcdo debate abuse modi rafael same attend bjp patrapc disclosing rahulcorruptionwhy wish 2defend himwhy spl attention rahulfraud allegation media space probed corruption merit 4media,0.0,objectbiased medium space cong spy rahulpcdo debate abuse mode rachel attend patrapc disclose rahulcorruptionwhy wish defend himwhy spy attention rahulfraud allegation medium space probe corruption merit medium
2179,friend don’ support modi atleast vote not suggesting vote for modi just vote for anybody but vote that’ precisely what asking ,1.0,friend support mode least vote suggest vote mode vote anybody vote precisely ask
2180,hate modi because wants ride victory again using the valour our armed forces can stoop any level protect his throne has nothing speak his failed policies know for fact that hes one despicable human being ,-1.0,hate mode want ride victory use valour arm force stoop level protect throne nothing speak fail policy know fact one despicable human
2181,have you bought your team modi tshirt you can the opposite team,0.0,buy team mode shirt opposite team
2182,lets order demonisation kill people modi,0.0,let order demonisation kill people mode
2183,modi giving what thinks indians deserve may will determine the accuracy his judgement ready ,1.0,mode give think indian deserve may determine accuracy judgement ready
2184,"hacked since days years highest unemployment india
modis report card governance worst asking sell pakodas youth while himself selling nationalism and merchandise ",-1.0,hack since day year high unemployment indiamodis report card governance bad ask sell pagoda youth sell nationalism merchandise
2185,great leadership modi salute you sir,1.0,great leadership mode salute sir
2186,maha milawat for satta swarth and shoshan narendra modi targets mahagathbandhan latest blog post india news ,1.0,masha milawat santa swarthy shopman narendra mode target mahagathbandhan late blow post india news
2187,modi sold the country for retweets,0.0,mode sell country retreat
2188,wait next ten years2029 modi solve ,0.0,wait next ten years2029 mode solve
2189,india wants perfect like modi not rotation and contract for months naqvi ,1.0,india want perfect like mode rotation contract month naevi
2190,miracle modi ,0.0,miracle mode
2191,sir your dilemma dilemma tens millions indians but ultimately must choose the lesser evil modi has forfeited trust the nation bent power any cost ignores the abusive remarks many his bjp colleagues make agst minorities,-1.0,sir dilemma dilemma ten million indian ultimately must choose less evil mode forfeit trust nation bent power cost ignores abusive remark many colleague make minority
2192,modi means marketing rahulji means governance ,0.0,mode mean market rahulji mean governance
2193,you feel that corruption has been removed during time,0.0,feel corruption remove time
2194,modi hai ‘mumkin’ hai wasn’ the slogan bjp ’ disgraceful for the post,0.0,mode muslin slogan disgraceful post
2195,vote kar only for bjp vote kar narendra modi appeals everyone during tweetstorm ,0.0,vote war vote war narendra mode appeal everyone tweetstorm
2196,simply stated the fact truthfully not necessarily correct politically fake democracies where cunning prestitutes become prophets lies angelic gospels ,-1.0,simply state fact truthfully necessarily correct politically face democracy cunning prestitutes become prophet lie angelic gospel
2197,matter how much guide someone walk right pathhe will the brainless smartless act alwaysur company tells who arethats why now have realised why naredra modi smart made his name the world why rahul gandhi brainless,1.0,matter much guide someone walk right path painless smartness act always company tell arethats realise naredra mode smart make name world paul gandhi painless
2198,these parties are experts looting exploiting modi remembers ram manohar lohia target mahamilawat ,0.0,party expert loot explain mode remembers ram manor ohio target mahamilawat
2199,depends the margin but then person like modi would never able operate properly has contend with other parties,-1.0,depends margin person like mode would never able operate properly contend party
2200,and just you know because don’ think you modi’ make india one his jumlas managed destroy small and medium businesses with his short sighted knowledge chaiwala economics modinomics matter year into office,-1.0,know think mode make india one jump manage destroy small medium business short sight knowledge chaiwala economics modinomics matter year office
2201,why modi bjp drag pakistan hindustan politics,-1.0,mode drag parisian hindustan politics
2202,"because they are and not brahmin
",0.0,brain
2203,"shame didi
blaming modi for corruption ppl decided give for tmc",0.0,shame didiblaming mode corruption pp decide give tm
2204,you are doing indirectly publicity narendra modi keep  ,0.0,indirectly publicity narendra mode keep
2205,meanwhile cancelled ola auto booking because driver look like modi  ,0.0,meanwhile cancel old auto book driver look like mode
2206,sirwe are committed splendid victory bjp under the dynamic leadership modi sir chowkidar bhuvnesh vilayatranisurat,1.0,sire commit splendid victory dynamic leadership mode sir chowkidar bhuvnesh vilayatranisurat
2207,good decision the part modi government have vigil over the skies and corner the enemy country with immediate actions now onward pakistan cannot seek and hide ,1.0,good decision part mode government vigil sky corner enemy country immediate action onward parisian seek hide
2208,who after modi can vajpayees advani trying inherit the bjp tells you this unmissable piece via ,0.0,mode vajpayees advance try inherit tell unmissable piece via
2209,give proof that modi said will give rs15 lacs everyone you prove then ill pay rs15 lacs you live pune honest people know how full corrupters party you are and shameless high you people are lack intellectual vision for nation shame,1.0,give proof mode say give rs15 law everyone prove ill pay rs15 law live pure honest people know full corrupt party shameless high people lack intellectual vision nation shame
2210,one more point should added modi and vijay mallaya ,1.0,one point add mode vital allay
2211,asking lots people how did jay shahs income increase much also rafael clear cut corruption and demonetisation too where bjp leaders made their black money white and increased their wealth nirav modi and cronies how did they run away after such fraud,1.0,ask lot people jay shays income increase much also rachel clear cut corruption demonetization leader make black money white increase wealth nina mode colony run away fraud
2212,’ hope that can combine its model nationalism with its version class politics stir infallible victory narrative but the challenge equally significant itself there are many strong subnational narratives ,1.0,hope combine model nationalism version class politics stir infallible victory narrative challenge equally significant many strong subnational narrative
2213,calls for netflix boycott after comedian hasan minhaj mocks narendra modi ,0.0,call netflix boycott comedian misha lock narendra mode
2214,exactly you said support modi,1.0,exactly say support mode
2215,then what this you are threatening our citizen you cant make money the cost lives poor people godda please withdraw your actions and your threats ,-1.0,threaten citizen make money cost live poor people good please withdraw action threat
2216,want modi for our whole life✌✌,1.0,want mode whole life
2217,narendra modi honest indian this good person,1.0,narendra mode honest indian good person
2218,grt sir have support our modi ,0.0,get sir support mode
2219,jobs stats dhundte koun hai wonder when the inflation the lowest and success taxpayers are more and epfo data says more people who sees the jobs campaign why only defame modi nothing gonna work ,1.0,job state dundee noun wonder inflation low guess taxpayer pro data say people see job campaign defame mode nothing donna work
2220,pls dont beg for tagging for tat neeed something concrete for the society unfortunately all tweets are rubbish pappu making advertisement tats modi ignored you ,-1.0,pu dont beg lag tat need something concrete society unfortunately sweets rubbish happy make advertisement oat mode ignore
2221,"the airline said the passes featuring the photographs would withdrawn they are found violation the model code conduct
",0.0,airline say pass fear photograph would withdraw found violation model code conduct
2222,shiva you are world celebrity more indian need you now here come back lets together build honest patriotic country with our modi ,1.0,ship world celebrity indian need come back let together build honest patriotic country mode
2223,when you were talking about lynches you never brougt pakistan your tweet now why india modi you are hypocrate shame you,0.0,talk lunch never bring parisian sweet india mode hypocrite shame
2224,believe good strategy who else symbolises modis failure more than karti chidu nirav modi lalit modi and the entire and coal mine scamsters being free and contesting elections ,1.0,believe good strategy else symbolize mode failure kari chief nina mode last mode entire coal mine scatter free consist election
2225,corruption cant removed any government can done public government can reduce which modi government has done,0.0,corruption remove government do public government reduce mode government do
2226,smitri irani was graduate 2004 and 12th class pass 2019 like like her cabinet modi finished his first and then completed and has computerized mark sheet when computer existed only happens india ,1.0,dmitri run graduate 2004 class pas 2019 like like cabinet mode finish first complete computerized mark sheet computer exist happens india
2227,damn one told that election results are announced and modi has won very bad people you should inform ,-1.0,damn one tell election result announce mode bad people inform
2228,chowkidar modi killers ramalingam silent chowkidar modi those brave men who undergo mortal danger save our holy cows think hard who commiting suicide,1.0,chowkidar mode tiller ramalingam silent chowkidar mode brave men undergo mortal danger save holy cow think hard committing suicide
2229,under congress iaf was begging for these and much more but nothing happened then within months taking office modi govt has cleared chinook m777 rafale and apache deals ,1.0,congress beg much nothing happen within month take office mode get cleared chink may rattle apache deal
2230,modi urges noted personalit ,0.0,mode urge note personality
2231,how this campaigning for modi can you explain the air chief talking about the capabilities the force how does become political ,0.0,campaign mode explain air chief talk capability force become political
2232,dear same things you will tell your party chief oppose modi but dont abuse his father,0.0,dear thing tell party chief oppose mode dont abuse father
2233,more importantly modis 2nd term important for him continue governor ,1.0,importantly modes term important continue governor
2234,you should ask election commission via bcci for postal ballot not modi sir this does not work urge you travel chennai cast your vote and travel back your respective city for the match most the matches are city with flight connectivity,1.0,ask election commission via I postal ballot mode sir work urge travel chennai cast vote travel back respective city match match city flight conductivity
2235,"yup best qualities modi and bjp
killing innocents the name religion ",1.0,best quality mode bjpkilling innocent name religion
2236,check the nos comunal riots gujarat since last 25yrs and then talk and then compare people killed comunal violance during upa406 bomay122 delhi81 gauhati71 hyderabad63 jaipur xero during modi regime,-1.0,check nos communal riot gujarat since last 25yrs talk compare people kill communal violence upa406 bomay122 delhi gauhati71 hyderabad63 jaipur hero mode regime
2237,this the modis where there are respects for women when lawmakers will use this kind rubbish language then what will the impact others @ ,1.0,mode respect woman lawmaker use kind rubbish language impact others
2238,what governer cant has personal oppinion this not fair any congresi abuses modi told that that was pesonal oppinion now governer praises modi that official not fair,-1.0,governor personal opinion fair congress abuse mode tell personal opinion governor praise mode official fair
2239,get rid modi,0.0,get rid mode
2240,she will drink even manhole water her petrodas say that will save them from eds investigators modi,0.0,drink even manhood water petrous say save end investigator mode
2241,through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 ,0.0,vote ensure get need deserve anupam responds modes vote war appeal 2019
2242,the real issue ppl not mind their own business once everyone will focus their own issues poverty corruption reforms law then everything will fine having said that indians should now realize that pakistan not ruled like modi,1.0,real issue pp mind business everyone focus issue poverty corruption reform law everything fine say indian realize parisian rule like mode
2243,"hacked since days years highest unemployment india
modis report card governance worst
asking sell pakodas youth while himself selling nationalism and merchandise
ाेशबचा ",-1.0,hack since day year high unemployment indiamodis report card governance worstasking sell pagodas youth sell nationalism merchandise
2244,announce tie with aap and cong his press conference 130 pmshall justify this illogical tie emphasizing upon the need remove modi shah duo ,0.0,announce tie cap cong press conference 130 shall justify illogical tie emphasize upon need remove mode shah
2245,modi this democracy show your power now that you carry hollow inch chest chowkidar raha hai ,-1.0,mode democracy show power carry hollow inch chest chowkidar rah
2246,agree there was option indira gandhi iron lady high decision making power but todays congress president not like that indira era but bjp has strong decisions making power modi era you have agree this,1.0,agree option india gandhi iron lady high decision make power today congress president like india era strong decision make power mode era agree
2247,ours multi party system and one who gets highest number votes wins bjp got votes other party got even that age those who got lesser votes than bjp have right say that the modi govt did not get majority politics not always ,1.0,multi party system one get high number vote win get vote party get even age get less vote right say mode get get majority politics always
2248,"vote out modi and bjp
modi cant rein these extremists bring congress government newdelhi congress the voice countrynot the voice one personone community but the voice the voice everybody this country ",0.0,vote mode bjpmodi rein extremists bring congress government newdelhi congress voice countrynot voice one personage community voice voice everybody country
2249,same chennai well jayalalitha was fiercely opposed the central government just because she was friend modi and had individual leadership opposed scum party dmk center didnt let metro work complete roads were shit now story way different,-1.0,chennai well jayalalitha fiercely opposed central government friend mode individual leadership oppose sum party center let retro work complete road shit story way different
2250,was the same who threatened modi 2014 election ,0.0,threaten mode 2014 election
2251,maths good modis logic,1.0,bath good mode logic
2252,sir narendra modi are confused yourour hashtagslogan for awareness vote for begging votes ,-1.0,sir narendra mode confuse yourour hashtagslogan awareness vote beg vote
2253,absolutly modi will win,1.0,absolutely mode win
2254,society needs modi governor kalyan singh channels bjp karyakarta ndtv ,0.0,society need mode governor klan sigh channel karyakarta
2255,modi chor will vote for congress and only congressmodi may every tactic win like realising his film doing promotion etcbut this degrader economy and uneducated man must not winhe will destroy india completely ,1.0,mode cher vote congress congressmodi may every tactic win like realise film promotion etcbut degrade economy educated man must wine destroy india completely
2256,fyi not janta modi but janta for modi and modi for janta and when you say aap janta saath hai that means you going vote for modi janta hit public interest,0.0,foi santa mode santa mode mode santa say cap santa state mean go vote mode santa hit public interest
2257,think bit show off good man but also nurtures bit modi within,1.0,think bit show good man also nurtured bit mode within
2258,"who funds these alleged farmers for contesting varanasi against modi
",-1.0,fund allege farmer consist varanasi mode
2259,desh bech chuke hai already modi mallya ambani,0.0,dish bench choke already mode marya albany
2260,where the money meant for salutesstadivasi minority students going must provide answers ,0.0,money meant salutesstadivasi minority student go must provide answer
2261,that modi works only for the country and ’ honest beyond shadow doubt,1.0,mode work country honest beyond shadow doubt
2262,rajasthan governor kalyan singh throw’ ‘dignity governor’’ office out window wants modi return ,1.0,rajasthan governor klan sigh throw dignity governor office window want mode return
2263,proving hard erase from the myriad places has inserted himself into ,-1.0,prove hard ease myriad place insert
2264,surprising see that both modi supporters and haters are equal champions data jugglery and fake news ,1.0,surprise see mode supporter water equal champion data jugglery face news
2265,owaisi asked modi hes eaten beef biryani why isnt bjp complaining the this allowed india can ask owaisi killed his mother and ate her because thats how felt after owaisis comment why action ,-1.0,waist ask mode eat beef bryan complain allow india ask waist kill mother ate felt waist comment action
2266,western buyers who were shifting india from china because price rise there went pakistan bangladesh sri lanka vietnam etc because they have better price they are clocking big time thanks modi,1.0,western buyer shift india china price rise go parisian bangladesh sir lank vienna etc well price block big time thanks mode
2267,“ for one optimistic that with leadership india will that new india that has promised ,1.0,one optimistic leadership india new india promise
2268,all these hashtags are hide the incompetency failure modi govt they have issues talk thus this nonsense ,-1.0,hashtags hide incompetency failure mode get issue talk thus nonsense
2269,ask election commission btw theres difference youre right modi sir plz the needful asap ,1.0,ask election commission bow difference right mode sir ply needful sap
2270,"please change name modi army whatever else
cause indian army does not belongs particular party particular person jay hind",1.0,please change name mode army whatever elsecause indian army belongs particular party particular person jay hind
2271,what you think modi did not for this washington establishment thought modi was all relationship,0.0,think mode washington establishment think mode relationship
2272,"new hashtag make people fool again
modi’ govt don’ deserve the power parliament
only has true vision for the youth india",1.0,new hashtag make people fool againmodi get deserve power parliamentonly true vision youth india
2273,yes vote for modi,0.0,yes vote mode
2274,owaisi asked modi had eaten beef biryani and slept while the terror attack took place pulwamai asking owaisi was drawing muhammads cartoon for charlie hebdo while kashmiri student was tweeting hows the jaise,0.0,waist ask mode eat beef bryan sleep terror attack take place pulwamai ask waist draw muhammad cartoon charlie head kashmir student meeting raise
2275,before 2014it was 82male female workers earning more than 10000 per month modi lowered the wages and paid that difference ambani adani ू् ी ोा ा े ो  ,1.0,2014it male female worker earn 100 per month mode lower wage pay difference albany
2276,country not problembut reality your seats danger zon dont worry about countymodi hai,0.0,country problembut reality seat danger dont worry countymodi
2277,modi never sold any tea its one those jhumlas that just took off anybody who can give any evidence ,0.0,mode never sell tea one jhumlas take anybody give evidence
2278,vote for modi and bjp vote for bjp want namo again,0.0,vote mode vote want name
2279,"not like congress congress sold country for years untill 1947 britishers sold late 1947 congress started selling modiji bringing back what you sold earlier one one like vijaya malya
nirav modi
christian michel",-1.0,like congress congress sell country year 1947 britisher sell late 1947 congress start sell modify bring back sell early one one like viliya malyanirav modichristian michel
2280,"write down
modi and bjp will sliding down further each day from today onwards 2019 predictions ",-1.0,write downmodi slide day today onwards 2019 prediction
2281,nahi nahi modi chor hai failed every aspect india darknesssale brain washed congressis,-1.0,nasi nasi mode cher fail every aspect india darknessale brain wash congress
2282,"approaches bombay high court stop auction paintings
",1.0,approach bombay high court stop auction painting
2283,imran masood kin azhar masood then what about lalit modi and nirav modi  ,0.0,man mood kin altar mood last mode nina mode
2284,has decided roll back these air india boarding pass with narendra modi vibrant gujrat vijay rupani ,1.0,decide roll back air india board pas narendra mode vagrant murat vital rupia
2285,india ready choose narendra modi for second term,1.0,india ready choose narendra mode second term
2286,bangalore south for modi dont worry wont dare cross godavari,0.0,bangalore south mode dont worry wont dare cross godavari
2287,sahi kahabut only the chawkidaar will able action thank you for reminding modi now will work even harder make sure namo again jai modi abhar akhilesh papu,1.0,safi kahabut chawkidaar able action thank remind mode work even hard make sure name jaw mode abhor akhilesh papa
2288,thats not true many are big supporters bjp and voted for that but now days mla and our area doing nothing for people because they know that end the day they will get vote the name modi,1.0,true many big supporter vote day la area nothing people know end day get vote name mode
2289,course because modi spread the hatred ,0.0,course mode spread hatred
2290,all the name advertising then telling voters why and how bjp killed lol air india boarding passes has modis image but advertising and all,1.0,name advertising tell voter kill air india boarding pass modes image advertising
2291,11was congress making defence strong ask urslf yrs they did nothing and yrs expect modi govt magic all the issues were not raised during congress rulewhen clean home the 1st thing collect the waste throw the kachra and then finally clean,1.0,congress make defence strong ask urslf yes nothing yes expect mode get magic issue raise congress rulewhen clean home st thing collect waste throw pakhra finally clean
2292,when will show the real then can gain votes work for all but dont involve god elections have personal faith show proudly that have faith jesusor something else should only try visit one place peoples heart that truth only modi heart,1.0,show real gain vote work dont involve god election personal faith show proudly faith jesus something else try visit one place people heart truth mode heart
2293,kamre modi brand remove first letter from and what remains you ,1.0,mode brand remove first letter remain
2294,challenges pmla court order auction his art collection camelot enterprises firm owned modi has approached the bombay stop the auction paintings which are expected fetch around crore matter heard march reports ,-1.0,challenge pale court order auction art collection camelia enterprises firm own mode approach bombay stop auction painting expect fetch around core matter hear march report
2295,society needs modi rajasthan governor kalyan singh channels bjp ‘karyakarta’ read here ,0.0,society need mode rajasthan governor klan sigh channel karyakarta read
2296,means ajay devgan will surely vote for modi ,1.0,mean away begin surely vote mode
2297,modi modiji pls come karnataka and contest from karnatakawe will show the power youths karnataka for the campaigning,0.0,mode modify pus come karnataka contest karnatakawe show power youth karnataka campaign
2298,completely bullied modi loooool,1.0,completely pull mode look
2299,"icing the cake
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too much fun  ",1.0,iting cakevaranasi loksabha seat mode cap give congress congress give give esp esp candidate join much fun
2300,vote for modi its better our better nobody can like modi ,1.0,vote mode well well nobody like mode
2301,ratan tata says modi will deliver new india ,1.0,satan data say mode deliver new india
2302,modi not responsible this should check with this what happens when entire media created much hype about modi,1.0,mode responsible check happen entire medium create much hope mode
2303,will come then chinese toy won’ even take off have brahmos ’ deadliest cruise middle the world next time modi comes pak army had ,0.0,come chinese toy even take brahmos deadly cruise middle world next time mode come pay army
2304,katju the british emperor not britain grand sir the god war krsna incorporation east india company royal family treasures one mile square city london victoria and elizabeth and not real monarch gandhi nehru chaiwala modi britain agents wwi mahabharat ,1.0,katie british emperor britain grand sir god war arena incorporation east india company royal family treasure one mile square city london victoria elizabeth real monarch gandhi near chaiwala mode britain agent www mahabharat
2305,people with your orientation and idealogy are welcomed almost all islamic countries you have option select out among countries the planet make your choice before modi gets reelected and close the policy reservation,0.0,people orientation ideology welcome almost islamic country option select among country planet make choice mode get reflect close policy reservation
2306,standalone modiadani benevolence contract shaped days before election mcc amending sez act jharkhand ,0.0,standalone modiadani benevolence contract shaped day election amend sez act jharkhand
2307,then why you want like modi even after being iitien and irs varsh tak surakshit naukari mukable apne bhi delhi chowkidari behtar samjhi sir,0.0,want like mode even city irs harsh take surakshit naukari unable anne hi delhi chowkidari well samjhi sir
2308,indian media and their sickular pro pak patrons wake only defend imran khan pak the tukde tukde gang rest the time they are busy abusing modi and bjp,1.0,indian medium singular pro pay patron wake defend man khan pay take take gang rest time busy abuse mode
2309,this will the death nail for indian forests ,0.0,death nail indian forest
2310,12so here yrs how expect govt just make india sone chidiya give some time modi far better than family which doing scams and becoming rich day day,1.0,yes expect get make india one chide give time mode far well family scar become rich day day
2311,done with deliberate intentions shabana azmi accuses biopic makers ndtv news via ,0.0,do deliberate intention havana ami cause topic maker news via
2312,arrests made for morphed modi any here,0.0,arrest make marched mode
2313,"yeh raha chowkidar jalwa
modi one the great brave person the worldnamo ",1.0,yes rah chowkidar jalwamodi one great brave person worldnamo
2314,modi and company,0.0,mode company
2315,vote modi bjp future india ,0.0,vote mode future india
2316,fake pic looted from narendra modi’ rally  usual fake propaganda like how you create fake social media accounts  congis stop looting conning  joke the day ,-1.0,face pick loot narendra mode rally usual face propaganda like create face social medium amount consist stop looting cunning joke day
2317,’ messaging best placed both institutionally and political communicator recast his party’ core ideology way that domestically generates confidence not fear that would vital for bjp reap any panindia ,1.0,essay best place constitutionally political communication recast party core ideology way domestically generate confidence fear would vital reap panindia
2318,hindu wow protect muslim and christian brothers and sisters but will never support this false narrative that modi and bjp are communal bjp communal acc then congress the kingpin communalism,-1.0,hindu protect muslin christian brother sister never support false narrative mode communal communal congress kingpin communism
2319,indian army belongs all indians and all indians are proud their army always indian army not belongs modi jis bjp rss only other indian parties not believing modi claim killing 300 terrorist only not indian army which has not made such tall claims till now,1.0,indian army belongs indian indian proud army always indian army belongs mode ross indian party believe mode claim kill 300 terrorist indian army make tall claim till
2320,why action modi bjp rss for misusing misappropriation public resource indian army their party resource their election campaign for branding other parties anti army anty national conducting fair election fails regulate ,1.0,action mode ross miss misappropriation public resource indian army party resource election campaign brand party anti army national conducting fair election fail regulate
2321,yes you are right but few modi andh bhagat are not understanding this hope god will help them,1.0,yes right mode bhagat understand hope god help
2322,after modi removed your name from voter list aap allegedly calls people pretending radio channel ,-1.0,mode remove name voter list cap allegedly call people pretend radio channel
2323,voting for modi surely not concerned about your children think again modi complete disaster for the nation ,-1.0,vote mode surely concerned child think mode complete disaster nation
2324,support modi sir,0.0,support mode sir
2325,narendra modi appeals everyone during tweetstorm via ,0.0,narendra mode appeal everyone tweetstorm via
2326,are all bjp workers modi should become governor kalyan singh read ,0.0,worker mode become governor klan sigh read
2327,want electe modi india its time change the future nation will our best for votekar,1.0,want elect mode india time change future nation best voter
2328,how disgusting have become that these horrific killings are not making headlines any more what has reduced where violent death new normal the only hope ,-1.0,disgust become horrified kill make headline reduce violent death new normal hope
2329,"look passing road around har pauri parking its lane both sides mch unused space btwn both even wip its slow like hell flyover frnt patanjali sided operational whts the point giving engines modi what rke got from nda
",-1.0,look pass road around pari park lane side much unused space even lip slow like hell lover front patanjali side operational wit point give engine mode get nd
2330,producer dons another hat with ,0.0,producer another hat
2331,narendra modi speech election speech via ,0.0,narendra mode speech election speech via
2332,modi sir will come again its true,1.0,mode sir come true
2333,"here agenda for education the next term for modi that fully endorse note that most can achieved only because some the mechanisms for achieving them have been put place his first term
",1.0,agenda education next term mode fully endorse note achieve mechanism achieve put place first term
2334,never seen such scary judgementthis dangerous not only for muslim girls but girls from every community india high time ucc implemented this will real challenge for modi govt which has started pussyfooting important issues ,-1.0,never see scar judgementthis dangerous muslin girl girl every community india high time implement real challenge mode get started pussyfoot important issue
2335,are bjp workers and would want modi win kalyan singh rajasthan governor via unfollowers,1.0,worker would want mode win klan sigh rajasthan governor via follower
