,content,sentiment,Proc_Tweet
575,Someone build house on (4) i cant do it unhappy  cant believe this hasn't already been done????,-1,someone build house 4 I unhappy believe already do
576,tulips are my favorite unhappy  ,-1,lip favorite unhappy
577,Omg I'm sad to say that I actually don't remember this! unhappy  when did this happen??,-1,org I sad say I actually remember unhappy happen
578,crying  We're getting VM soon wooo,-1,cry get soon
579,unhappy  my 4c struggle is not valid?,-1,unhappy c struggle valid
580,77 ? Old Leyland,-1,77 old leland
581, love it unhappy ,-1,love unhappy
582,only pure evil people unhappy ,-1,pure evil people unhappy
583,sounds family ,-1,sound family
584,this is jimin to yoongi unhappy  ,-1,join young unhappy
585,Chin up Leo crying  ,-1,chin leo cry
586,slight buzy kasi besh unhappy  ,-1,slight busy nasi best unhappy
587,Rip tes 100k experience  crying ,-1,rip yes 100k experience cry
588,please reading this breaks my heart unhappy ,-1,please read break heart unhappy
589,mager unhappy ,-1,eager unhappy
590,penge damit unhappy ,-1,penny admit unhappy
591,this is jimin to yoongi unhappy  ,-1,join young unhappy
592,Bapak Tom Cruise. ,-1,back tom cruise
593,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1,I absorb I go get laugh get 200 vote unhappy
594,I just watched this kid from produce 101 who performed Chewing Gum omoo poor kid bless his soul unhappy ,-1,I watch kid produce 101 perform chew gum poor kid bless soul unhappy
595,Definitely my arms unhappy  ,-1,definitely arm unhappy
596,My moms leaving today to go out of town and I already miss her unhappy ,-1,moss leave today go town I already miss unhappy
597,I can't do it all on my own. (See what I did there? ) ,-1,I see I
598,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1,online crush come meet without snapchat filter unhappy
599,and i would never forget about you!! ,-1,I would never forget
600,fuckin' headache everyday unhappy ,-1,fuck headache everyday unhappy
601,Jyoust hyoug me,-1,NA
602, hyoug me longer than 10 secs. Hyoug me even when i don%27t want you to unhappy ,-1,longer 10 sea even I want unhappy
603,the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,-1,sad part day everyday run leave 5 30 unhappy
604,What did he say I'm at work unhappy  totally made my day though,-1,say I work unhappy totally make day though
605,jimin doesnt follow me yet unhappy ,-1,join follow yet unhappy
606,I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,-1,I know I time I retreat I wait long time unhappy
607,need moodbooster juseyo unhappy  ,-1,need moodbooster justo unhappy
608,i miss you too unhappy ,-1,I miss unhappy
609,Wth why did 4/20 have to happen during the Easter holidays it's one of the best days in Leeds unhappy ,-1,4 20 happen easter holiday one best day leeds unhappy
610,hakyeon turns 27 soon oh my god no he's still a baby unhappy ,-1,hakyeon turn 27 soon oh god still baby unhappy
611,It's gray outside today unhappy ,-1,gray outside today unhappy
612,I ordered car yesterday,-1,I order car yesterday
613, dealer said loads of cars were returning due to disabled losing them sad ,-1,dealer say loads car return due disable lose sad
614,Gotta keep trying before i have to quit to work unhappy  pick me please! give ,-1,gutta keep try I quit work unhappy pick please give
615,Definitely my arms unhappy  ,-1,definitely arm unhappy
616,I literally couldn't see a thing when they were at the back of the stage,-1,I literally could see thing back stage
617, the girl in front of me was ,-1,girl front
618,Definitely my arms unhappy  ,-1,definitely arm unhappy
619,getting up this morning was a hassle unhappy ,-1,get morning haste unhappy
620,My mom knows the struggle of this drystreak I'm on unhappy  ,-1,mon know struggle drystreak I unhappy
621,Haven't played FM in a long time. I really should. unhappy ,-1,play long time I really unhappy
622,Someone messed up unhappy  Available**,-1,someone miss unhappy available
623,I miss my baby unhappy ,-1,I miss baby unhappy
624,Yesterday's faci so cute! But he 30+ :(Today's faci is old eeyer,-1,yesterday face cut 30 today face old meyer
625,yes jenniessi? ,-1,yes jenny
626,SO PRECIOUS I REALLY MISS HIM unhappy   ,-1,precious I really miss unhappy
627,Louis_Tomlinson follow me please? unhappy ,-1,louis tomlinson follow please unhappy
628,I WAITED FOR U unhappy ,-1,I wait unhappy
629,That makes me sad. unhappy  I wasn't friends with her like you,-1,make sad unhappy I friends like
630, but I liked seeing her posts and love her wri ,-1,I like see post love writ
631,I WAITED FOR YOU unhappy  ,-1,I wait unhappy
632,U4v9rr I wish I had noted the gentleman's name unhappy  but if you find out who he is,-1,u4v9rr I wish I note gentleman name unhappy find
633, please do commend him. H ,-1,please commend h
634,I do it for 5/6 times a week leh sad  and yes closing is damn fuck opening so much better,-1,I 5 6 time week let sad yes close damn fuck opening much well
635,no one is selling vhope banners what?  sad ,-1,one sell hope banner sad
636,All my irls are coming at me because I meet the boys too much and I don't deserve any of it unhappy ,-1,girl come I meet boys much I deserve unhappy
637,you might set the whole place on fire.  ,-1,might set whole place fire
638,i'll try sad and yes i am unhappy ,-1,I try sad yes I unhappy
639,Goodmorning!! My Parents are taking kids for lunch today- they are off school-Report Card! I'm wor ,-1,goodmorning parent take kiss lunch today school report card I
640,yeah sad ,-1,yeah sad
641,Streaming later in the day (night stream) since i have to go and take care of the internet contract,-1,stream later day night stream since I go take care internet contract
642, sorry guys unhappy ,-1,sorry gun unhappy
643,True unhappy ,-1,true unhappy
644,help me too unhappy  as an early birthday gift huhu,-1,help unhappy early birthday gift huge
645,Definitely my arms unhappy  ,-1,definitely arm unhappy
646,Just please look at how scared and full of tence lauren's face is after tryin reaching camila's hand,-1,please look scar full hence laurel face try reach family hand
647, baby unhappy  (bett,-1,baby unhappy best
648,aww eunji didnt see win today sad  but congratulations to winner !!!!,-1,www ennui see win today sad congratulation winner
649,You can have mine and I'll take the iPhone. I'm switching back when my contract is up... in a year and a half unhappy ,-1,mine I take phone I twitch back contract year half unhappy
650,i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy ,-1,I know I really want rank rise lot mr episode see many sweet unhappy
651, Hitches Ride For Final unhappy  ,-1,ditch ride final unhappy
652,White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,-1,white genocide thing pigment imagination victim nothing disinformation
653,one direction (band)  whats going on unhappy ,-1,one direction band go unhappy
654,Too bad i can't watch it unhappy  that cake is cute and looks delicious,-1,bad I watch unhappy cake cut look delicious
655,Definitely my arms unhappy  ,-1,definitely arm unhappy
656,give me my own AHN MINHYUK juseyoooo unhappy ,-1,give minhyuk juseyoo unhappy
657,sorry unhappy  i just need sex for the time being,-1,sorry unhappy I need sex time
658,Definitely my arms unhappy  ,-1,definitely arm unhappy
659,wants to say HI to you.,-1,want say hi
660,this is jimin to yoongi unhappy  ,-1,join young unhappy
661,It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat ,-1,seem cost ask year I pay half full education get treat
662,Definitely my arms unhappy  ,-1,definitely arm unhappy
663,come to Miami sad  ,-1,come mimi sad
664,TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy ,-1,assaultactually horrify many friend mine woman I talk sexually assault past find another unhappy
665,my heart unhappy  ,-1,heart unhappy
666,soph please don%27t win again unhappy   jk.. good luck i think you will draw a good poster,-1,sophy please win unhappy j good luck I think draw good poster
667,sad  I don't,-1,sad I
668, unfortunately,-1,unfortunately
669,i really feel for that lamp unhappy ,-1,I really feel lamp unhappy
670,sadly I'm not unhappy ,-1,sadly I unhappy
671,last kiss unhappy  ,-1,last kiss unhappy
672,WHY ARE YOU WHIMPER AT ME? ,-1,whisper
673,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,damn people sincerely want attend birthday party bus people try fun make ca
674,Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,-1,streaminuteg 45 minute understanding thing still unhappy
675,Why is it so difficult for me to get at least a chance unhappy ,-1,difficult get least chance unhappy
676,for some reason last.fm unlinks from spotify and i miss like a month of scrobbles before i notice unhappy ,-1,reason last unlink specify I miss like month scribble I notice unhappy
677,only take season 9 off ,-1,take season 9
678,Definitely my arms unhappy  ,-1,definitely arm unhappy
679,Definitely my arms unhappy  ,-1,definitely arm unhappy
680,All of the park areas in Paris are marked as green on Google maps,-1,park area paris mark green goose map
681, but in reality they're just patches of dusty dirt unhappy ,-1,reality patch dusty dirt unhappy
682,ill be at work just a second come on unhappy ,-1,ill work second come unhappy
683,and he's still taking over a quarter of the billboard charts while x is,-1,still take quarter billboard chart x
684,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,damn people sincerely want attend birthday party bus people try fun make ca
685,Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,-1,gun please help I tried smoke lecture earlier salad ruin unhappy
686,CAN SOMEONE PLS GIFT ME XAYAH USING PI PLSSSS? unhappy ,-1,someone pu gift sarah use I pass unhappy
687,instant message still bored unhappy ,-1,instant message still bore unhappy
688,this is jimin to yoongi unhappy  ,-1,join young unhappy
689,My heart hurts. sad  I hate people ,-1,heart hurt sad I hate people
690,can just see the edge creeping in unhappy  ,-1,see edge creep unhappy
691,Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,-1,organicthey shoehorn input plot character developmentmcu netflix leswhat support
692,I suddenly miss you ate unhappy ,-1,I suddenly miss ate unhappy
693,Biggest problem for paper books is storage unhappy ,-1,big problem paper book storage unhappy
694,i havent been this early to school since last semester unhappy ,-1,I early school since last smelter unhappy
695,Pierces like a bitch unhappy ,-1,piece like bitch unhappy
696,I think that's one of the hottest part of your body  ,-1,I think one hot part body
697,wow this is amazing but i won't be in the country unhappy  ,-1,amaze I country unhappy
698,Definitely my arms unhappy  ,-1,definitely arm unhappy
699,i want harry's phonecase sad ,-1,I want harry phonecase sad
700,Work at 7 this morning unhappy ,-1,work 7 morning unhappy
701,jungkook looks like he gives the biggest and warmest hugs unhappy  ,-1,jungkook look like give big warm huge unhappy
702,Ah Baba no idea tori olorun. May I never be a victim of such case ,-1,ah baby idea tear olorun may I never victim case
703,PSA: REMEMBER THIS WHEN YOU ASK ARTISTS TO DRAW FOR YOU. I'd say the same thing for writers but apparently commissi ,-1,pas remember ask artist draw I would say thing writer apparently commission
704,I want to give him everything that makes him happy just to see this smile unhappy ,-1,I want give everything make happy see smile unhappy
705,I miss Jamie boy and we're both sick unhappy ,-1,I miss amie boy sick unhappy
706,what if the one direction (band)  itself is the one who's giving up? unhappy  ,-1,one direction band one give unhappy
707,damn ify ate unhappy ,-1,damn ate unhappy
708,Whaaattt ,-1,NA
709,don't rt to save a guy's life ,-1,save guy life
710,Nooo your hair color is pretty ,-1,hair color pretty
711,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
712,Definitely my arms unhappy  ,-1,definitely arm unhappy
713,where's justin i miss him unhappy ,-1,austin I miss unhappy
714,Someone should bring me breakfast to work unhappy ,-1,someone bring breakfast work unhappy
715,Thats grim unhappy ,-1,grim unhappy
716,oh noooo baby unhappy ,-1,oh baby unhappy
717,I'm so tired unhappy ,-1,I tire unhappy
718,I miss you Levi unhappy ,-1,I miss levi unhappy
719,i left my headphones at home unhappy  kms,-1,I leave headphone home unhappy m
720,I wish I was meeting OA again unhappy ,-1,I wish I meeting unhappy
721,A year ago today is the last time Sakho played for us unhappy ,-1,year ago today last time sake played us unhappy
722,they would have sustained their fame if they did unhappy ,-1,would sustain fame unhappy
723,I miss him unhappy  ,-1,I miss unhappy
724,ich will ned unhappy ,-1,ich ned unhappy
725,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1,online crush come meet without snapchat filter unhappy
726,This is by far my worst day of 2017 since January 8th unhappy  crying  crying .,-1,far worst day 2017 since january th unhappy cry cry
727,Note to self: Dont get to attached crying ,-1,note self dont get attach cry
728,Mine hasn't been sending stuff unhappy ,-1,mine send stuff unhappy
729,Definitely my arms unhappy  ,-1,definitely arm unhappy
730,Roc Boyz sad  ,-1,row boy sad
731,i love you but I can%27t be arsed i don%27t know why people keep saying it unhappy ,-1,I love I arm I know people keep say unhappy
732,No Celtics or Bruins today unhappy  At least Sale is pitching for the Sox,-1,celtic ruin today unhappy least sale pitching
733,I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,-1,I honestly think try get rid make monkey town I wont admit unhappy
734,Nooo your hair color is pretty ,-1,hair color pretty
735,Aseek ,-1,seek
736,Bantay? unhappy ,-1,santa unhappy
737,Trying to get in touch with but their numbers appear to be down! unhappy ,-1,try get touch number appear unhappy
738,Need your help guys crying  ,-1,need help gun cry
739,A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,-1,fish killer go press unhappy I today good person
740,I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,-1,I need lesson learn start conversation people keep chat unhappy
741, Who hacked me unhappy ,-1,hack unhappy
742,Damn you both,-1,damn
743, I won't be on till later! unhappy ,-1,I till later unhappy
744,Lets hope a VIP does this good deed. I want to watch this too . They shouldn't have done thi ,-1,let hope lip good deed I want watch do
745,sometimes at night i feel scared and vulnerable crying ,-1,sometimes night I feel scared vulnerable cry
746,If you really want to dye it don't go lighter ,-1,really want dye go lighter
747,how come i didn't get a reminder email this month unhappy ,-1,come I get reminder email month unhappy
748,wowwow these are all so cute unhappy  i wantt ,-1,wowwow cut unhappy I want
749, [PLEASE RT] he'll buy me a blinking taehyung headband,-1,please buy blink taehyung headband
750, if i get 900 retweets and 900 likes. help me :(un,-1,I get 900 retreat 900 like help un
751,younhappy  I'll keep it jyoust for you,-1,unhappy I keep
752,Damn it isn't available here unhappy  ,-1,damn available unhappy
753,it's $10 but also free postage. i wish the seller had yanan and yeo one too. unhappy ,-1,10 also free postage I wish seller anna yes one unhappy
754,Don kray denial of normal bi say ,-1,gray denial normal I say
755,Same unhappy  I've unfollowed so many people ugh,-1,unhappy I follow many people ugh
756, it's such a negative pit of unhappiness,-1,negative pit unhappiness
757,its ending soon aah unhappy ,-1,end soon aah unhappy
758,Definitely my arms unhappy  ,-1,definitely arm unhappy
759,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,damn people sincerely want attend birthday party bus people try fun make ca
760,Faltan Russel  why Noodle unhappy ,-1,fall russe noble unhappy
761,yeah i am unhappy  thank you so much my angel ,-1,yeah I unhappy thank much angel
762,i miss jihoon sad ,-1,I miss jihoon sad
763,We lost: at Jacksonville,-1,lose jacksonville
764, 2010 Week 11,-1,2010 week 11
765, 24-20 unhappy ,-1,24 20 unhappy
766,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,-1,I hope little begin overworkiandg get least rest unhappy
767,Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,-1,guess get unicorn frappuino sell unhappy
768,what if the one direction (band)  itself is the one who's giving up? unhappy  ,-1,one direction band one give unhappy
769,come back callie  gabbie d ghost unhappy  i love you both,-1,come back call abbe ghost unhappy I love
770,unhappy  oh man..,-1,unhappy oh man
771,it kind of feels like a sunburight now right now sad  someone please make the nobby things on glasses not slip,-1,kind feel like sunburight right sad someone please make hobby thing glass slip
772,Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,-1,guess get unicorn frappuino sell unhappy
773,Would really like it if the coandsole versioands and got the update to makr it like the Steam versioand. =(,-1,would really like console version get update make like steam version
774,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,-1,hi try call number get response unhappy please share another suitable time alternate number count
775,Sooooo feels like a Friday today unhappy ,-1,feel like friday today unhappy
776,Definitely my arms unhappy  ,-1,definitely arm unhappy
777,I miss talking to yoyoyou  who are yoyou younhappy  yoyou can always still talk to me ,-1,I miss talk yoyoyou unhappy always still talk
778,This picture makes me sad unhappy  ,-1,picture make sad unhappy
779,why can't dogs just live forever unhappy ,-1,dog live forever unhappy
780,I understand that look sad ,-1,I understand look sad
781,my boyfriend mad cute unhappy ,-1,boyfriend mad cut unhappy
782,i miss minmin crying ,-1,I miss mine cry
783,good morning i had a nightmare and i'm still wondering why maddie hates me. this is only the beginning of the day unhappy ,-1,good morning I nightmare I still wonder make rate begin day unhappy
784,pake unhappy ,-1,take unhappy
785,I miss London already unhappy ,-1,I miss london already unhappy
786,jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,-1,jyoustinbieber please follow daianeryoufato I try long unhappy I love much baby xx april 20
787, 2017 at 08:45AM),-1,2017 08
788,Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,-1,deep scratch paint go see bare metal need fix avoid get rest car soon unhappy
789,when will you go here in batangas? sad  ,-1,go batangas sad
790,I miss you more unhappy ,-1,I miss unhappy
791,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1,I absorb I go get laugh get 200 vote unhappy
792,this wasnt meant to sound ano sad ,-1,want mean sound ano sad
793,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,damn people sincerely want attend birthday party bus people try fun make ca
794,One year ago today unhappy  ,-1,one year ago today unhappy
795,this song will always be one of my faves unhappy  ,-1,song always one face unhappy
796,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1,talk driver I go say would love go new york since tramp probably
797,fuck get me followers unhappy  my ratio is amazing,-1,fuck get follower unhappy ratio amazing
798,mom please stop making cookies,-1,mon please stop making colony
799, they're like 90 calories per piece unhappy  ,-1,like 90 calorie per piece unhappy
800,I miss the 7/27 costumes unhappy ,-1,I miss 7 27 costume unhappy
801,why did she delete the tweet,-1,delete sweet
802, now I need a different pinned tweet unhappy  ,-1,I need different pin sweet unhappy
803,[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,-1,think top soundwave forever wrap void realm unhappy
804,You deserve better . Hope you'll be okay unhappy  ,-1,deserve good hope okay unhappy
805,mane has been amazing unhappy ,-1,mane amaze unhappy
806,Dammit the effect of the linearts doesn't show so nicely on twitter unhappy ,-1,admit effect liners show nicely twitter unhappy
807,but like HOW LONG IS A WHILE?! i didn't want him to be back but he puts me in such a good mood so i don't want him ,-1,like long I want back puts good mood I want
808,we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it unhappy ,-1,get pork katsudon tokyo dinner egg unhappy
809,before anyone else we ass hole unhappy ,-1,anyone else ass hole unhappy
810,the anniversary of josh's death unhappy ,-1,anniversary jose death unhappy
811,so sorry I havent been checking my tweets unhappy  We are all here for you!,-1,sorry I check sweet unhappy
812,Aww unhappy  I'm on Coeurl,-1,www unhappy I coeur
813,Oh no unhappy ,-1,oh unhappy
814,I liked a video ,-1,I like video
815,my puppies deserves all better unhappy  ,-1,supply deserve good unhappy
816,My husband has a family history with the mafia too but he doesn't know the stories sad ,-1,husband family history mania know story sad
817,WTF Canada 2017 and you are still in the 1700s. I Will Never support,-1,utf canada 2017 still 1700s I never support
818, buy or do anything that supports Canada until,-1,buy anything support canada
819,suuuuuuuuss scared crying ,-1,spur scar cry
820,One table last night told me I look like a graceful ballerina gliding through tables- then another told me I looked like a flash dancer unhappy ,-1,one table last night tell I look like graceful wallerian gliding table another tell I look like flash dancer unhappy
821,seem I want to drop this account to wuhyungwon unhappy  ,-1,seem I want drop count wuhyungwon unhappy
822,Don't ask. Two special issues lined up. unhappy ,-1,ask two special issue line unhappy
823,you got to rest,-1,get rest
824, man. : ( ,-1,man
825,Does anyone have a 7 adapter or 7 earbuds i can borrow for the day? Left mine in my car unhappy ,-1,anyone 7 adapt 7 earbuds I borrow day leave mine car unhappy
826,I'm staying here in SA unhappy ,-1,I stay sa unhappy
827,Preacher...... unhappy ,-1,preacher unhappy
828,Umma why you do this crying ,-1,gumma cry
829,I miss it already unhappy ,-1,I miss already unhappy
830,Well thanks for stoping by unhappy ,-1,well thanks stop unhappy
831,Why? You don't like blonde hair? unhappy ,-1,like blonde hair unhappy
832,3. That's a lot cheaper and easier than make your own. My schematic needs special cables that doesn't come easy. unhappy ,-1,3 lot cheap easy make schematic need special table come easy unhappy
833,Pozuelo (formerly of Swans) and Suso (Liverpool now AC),-1,pozuelo formerly swabs liverpool ac
834, both look so so good at there current clubs. Shame they never cut it in the PL unhappy ,-1,look good current club shame never cut unhappy
835,Gorbachev done  w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ,-1,gorbachev do w fear think bold enough implement vision damp suit unhappy
836,WUUT SERIOUSLY? ,-1,seriously
837,Who got to pen today man crying ,-1,get pen today man cry
838,As if this process hasn't been frustrating enough,-1,process frustration enough
839, it's just got 3 years longer unhappy   ,-1,get 3 year longer unhappy
840,Roc Boyz sad  ,-1,row boy sad
841,Ravel Morrison unhappy  ,-1,travel morrison unhappy
842,That is super scary unhappy ,-1,super scar unhappy
843,Same. unhappy  I got a 12h stream coming up for my Bday in 8 hours. And I'm still not sleeping. ,-1,unhappy I get oh stream come day 8 hour I still sleep
844,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1,talk driver I go say would love go new york since tramp probably
845,Ps4 mate,-1,mate
846, got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud unhappy ,-1,get kiss part never complete since return investment drop laugh loud unhappy
847,we left it all unspoken,-1,leave unspoken
848, we buried it alive and now it's screaming in my head crying ,-1,bury alive scream head cry
849,DONT LAUGH unhappy  MEANIE BASE ,-1,dont laugh unhappy mean base
850,Sorry I didn't make it to the book drive yesterday couldn't get outta work unhappy ,-1,sorry I make book drive yesterday could get gutta work unhappy
851,yoongi come back unhappy ,-1,young come back unhappy
852,NOOOO in here is 6.45 ;_; I have classes at that time unhappy ,-1,6 45 I class time unhappy
853,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
854,Call Duration: Before sex: 01:47:36 After sex: 00:00:19 crying ,-1,call duration sex 01 47 36 sex 00 00 19 cry
855,this is jimin to yoongi unhappy  ,-1,join young unhappy
856,I'm all fucked up right now unhappy ,-1,I tuck right unhappy
857,Definitely my arms unhappy  ,-1,definitely arm unhappy
858,Last day of the camp tomorrow,-1,last day camp tomorrow
859, it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ,-1,much fun I absolutely love kiss want soon unhappy
860,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
861,Think it would drive me mad once the synths and other robots turned up. unhappy ,-1,think would drive mad month root turn unhappy
862,now i don%27t want to go camp unhappy ,-1,I want go camp unhappy
863,can I only pick one unhappy  ,-1,I pick one unhappy
864,But I'm lonely. unhappy ,-1,I lonely unhappy
865,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for.. cont1,-1,hi try call number get response unhappy please share another suitable time alternate number count
866,Miss my friends unhappy ,-1,miss friend unhappy
867,The one on the left? I couldn't see it unhappy ,-1,one left I could see unhappy
868,not applicablengarag not applicable this unhappy  ill find more wonu pictures soon alxmdkcsnx ,-1,applicablengarag applicable unhappy ill find picture soon alxmdkcsnx
869,please answer request.  unhappy ,-1,please answer request unhappy
870,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
871,most painful thing ever is having feelings for someone you can't be with .. unhappy ,-1,painful thing ever feel someone unhappy
872,No one is offering this poor old lady a seat unhappy ,-1,one offering poor old lady seat unhappy
873,lexxxxxy unhappy  youre too nice to me instant message really not eek  ,-1,levy unhappy nice instant message really week
874,Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ,-1,I better pen pencil dafaqcomoni want good drawer unhappy
875,mayes unhappy  .g,-1,make unhappy g
876,Thanks for that! Little things like that really help when sleep starts hitting and you don't drink coffee or energy drinks unhappy ,-1,thanks little thing like really help sleep start hit drink coffee energy drink unhappy
877,i miss them already unhappy  ,-1,I miss already unhappy
878,Definitely my arms unhappy  ,-1,definitely arm unhappy
879,oh my god what the heck i'm so sorry! this was one of my favorites as well unhappy ,-1,oh god neck I sorry one favorites well unhappy
880,Scout photobombed my bluebells photo sad  ,-1,scout photobombed bluebell photo sad
881,Crap. Hailie won't be there. She has a school game and won't make it to Middleburg in time unhappy ,-1,cap haiti school game make middleburg time unhappy
882,Still NO sign - it's a very small area ( Gardens ) and it would be very obvious sad  quite a few eyes now ,-1,still sign small area garden would obvious sad quite eye
883, but no sign.,-1,sign
884,My knee is similar colour to leny Henry's unhappy ,-1,knee similar colour lent henry unhappy
885,Okey unhappy ,-1,obey unhappy
886,In so much pain. My eye hurts unhappy  ,-1,much pain eye hurt unhappy
887,Don't be buffalo unhappy ,-1,buffalo unhappy
888,It's hard to imagine anyone but Robin unhappy  but still exciting nonetheless,-1,hard imagine anyone robin unhappy still excite nonetheless
889,at least it's not 80 cad like here unhappy  (90 cad with Quebec taxes),-1,least 80 like unhappy 90 quebec tax
890,Ye... I will miss you unhappy ,-1,ye I miss unhappy
891,22 is old unhappy ,-1,22 old unhappy
892,Rl? Serius? ,-1,serious
893,I feel so awful today unhappy  I don't want to go to my internship,-1,I feel awful today unhappy I want go internship
894,So I may be one of those workers who are not properly compensated unhappy ,-1,I may one worker properly compensate unhappy
895,i love when people or message me w long messages about how beautiful they find joon like unhappy  yes i agree keep going,-1,I love people message w long message beautiful find soon like unhappy yes I agree keep go
896,today hasn't been great unhappy  ,-1,today great unhappy
897,Used up a month's worth at Laugharne Weekend sad  (no wi-fi in small Carmarthenshire towns,-1,use month worth laugharne weekend sad I small carmarthenshire town
898, let alone for free!),-1,let alone free
899,Today is 4-20 which is Hitler's birthday unhappy  ,-1,today 4 20 hither birthday unhappy
900,jungkook looks like he gives the biggest and warmest hugs unhappy  ,-1,jungkook look like give big warm huge unhappy
901,Youngjae looked so sad in the video unhappy ,-1,youngjae look sad video unhappy
902,babies unhappy  ,-1,baby unhappy
903,I'll check that out... I was excited about the backup singers but they were way too backup unhappy ,-1,I check I excite back singer way back unhappy
904,First round exit in 15 minutes followed by 45 of tech crying unhappy  ,-1,first round exit 15 minute follow 45 teach cry unhappy
905,my puppies deserves all better unhappy  ,-1,supply deserve good unhappy
906,resolve is sooo slow on my laptop,-1,resolve slow lawton
907, i don't think i'll be ever to edit long videos here unhappy  i'll go try another editing software ,-1,I think I ever edit long video unhappy I go try another editing software
908,I hate throwing up  unhappy ,-1,I hate throw unhappy
909,As Nani in lies unconscious,-1,nasi lie unconscious
910, never mind Khushi,-1,never mind hush
911, I know I'm not ready to say goodbye unhappy  So,-1,I know I ready say goodby unhappy
912, w,-1,w
913,:^) hello ,-1,hello
914,He's not beating the two favourites here anyway so I'll stop caring about this match,-1,beat two favourite anyway I stop dare match
915, sob. unhappy ,-1,sob unhappy
916,I feel like the 'only environments disable people' argument actually excludes many disabled people ,-1,I feel like environment disabled people argument actually exclude many disabled people
917,this is jimin to yoongi unhappy  ,-1,join young unhappy
918,Baaaper unhappy  ,-1,paper unhappy
919,Roc Boyz sad  ,-1,row boy sad
920,Roc Boyz sad  ,-1,row boy sad
921,So,-1,NA
922, last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ,-1,last night I dream I move japan happen see denied friendly request unhappy
923,SO PRECIOUS I REALLY MISS HIM unhappy   ,-1,precious I really miss unhappy
924,Oh no unhappy  what are you like?!  Is it still in shops?,-1,oh unhappy like still shop
925,aando uandhappy  i googled it the other day to read the meandu agaiand and it said it was a hoax,-1,unhappy I growl day read mean say hoax
926,Thank you unhappy  i need a certificate signed from God,-1,thank unhappy I need certificate sign god
927,Hi Mahima! We share your concern unhappy  Please DM us your contact details so that we can get in touch for a detailed.. cont1,-1,hi mamma share concern unhappy please us contact detail get touch detailed count
928,talking about tattoos just makes me want my bb8 tattoo more and more but i'm so broke it makes me unhappy ,-1,talk tattoo make want tattoo I break make unhappy
929,Never want to finish desperate housewives what will I do with my life unhappy ,-1,never want finish desperate housewife I life unhappy
930,Not surprised that I have the least amount of followers out of the whole cast sad  LOL,-1,surprised I least amount follower whole cast sad
931,Dear attendees,-1,dear attend
